run,noise_level,method,psnr_mean,psnr_std,ssim_mean,ssim_std,haarpsi_mean,haarpsi_std
run_04_pat_250_e80,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_04_pat_250_e80,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_04_pat_250_e80,7.5%,TFPnP,26.576,1.6646,0.6811,0.1305,0.4432,0.0394
run_04_pat_250_e80,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_04_pat_250_e80,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_04_pat_250_e80,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_04_pat_250_e80,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_04_pat_250_e80,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_04_pat_250_e80,10.0%,TFPnP,26.1038,1.6127,0.6761,0.1182,0.4132,0.0349
run_05_sigma_floor,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_05_sigma_floor,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_05_sigma_floor,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_05_sigma_floor,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_05_sigma_floor,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_05_sigma_floor,5.0%,TFPnP,20.9889,1.7898,0.3645,0.0862,0.3554,0.0407
run_05_sigma_floor,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_05_sigma_floor,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_05_sigma_floor,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_05_sigma_floor,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_05_sigma_floor,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_05_sigma_floor,7.5%,TFPnP,19.9182,1.8656,0.3338,0.0867,0.3249,0.0435
run_05_sigma_floor,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_05_sigma_floor,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_05_sigma_floor,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_05_sigma_floor,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_05_sigma_floor,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_05_sigma_floor,10.0%,TFPnP,19.2339,1.93,0.3126,0.0896,0.3016,0.0445
run_06_m3_N10,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_06_m3_N10,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_06_m3_N10,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_06_m3_N10,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_06_m3_N10,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_06_m3_N10,5.0%,TFPnP,26.4478,1.6636,0.6014,0.1492,0.4709,0.04
run_06_m3_N10,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_06_m3_N10,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_06_m3_N10,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_06_m3_N10,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_06_m3_N10,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_06_m3_N10,7.5%,TFPnP,25.5604,1.5238,0.5807,0.1365,0.4091,0.0374
run_06_m3_N10,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_06_m3_N10,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_06_m3_N10,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_06_m3_N10,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_06_m3_N10,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_06_m3_N10,10.0%,TFPnP,25.1813,1.5845,0.5871,0.1381,0.3767,0.0313
run_07_ssim_reward,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_07_ssim_reward,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_07_ssim_reward,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_07_ssim_reward,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_07_ssim_reward,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_07_ssim_reward,5.0%,TFPnP,27.1827,1.6828,0.707,0.1205,0.4814,0.0385
run_07_ssim_reward,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_07_ssim_reward,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_07_ssim_reward,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_07_ssim_reward,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_07_ssim_reward,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_07_ssim_reward,7.5%,TFPnP,26.2999,1.6057,0.6907,0.1189,0.4314,0.0363
run_07_ssim_reward,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_07_ssim_reward,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_07_ssim_reward,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_07_ssim_reward,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_07_ssim_reward,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_07_ssim_reward,10.0%,TFPnP,25.663,1.5296,0.6723,0.1169,0.3967,0.0323
run_08_haarpsi_reward,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_08_haarpsi_reward,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_08_haarpsi_reward,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_08_haarpsi_reward,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_08_haarpsi_reward,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_08_haarpsi_reward,5.0%,TFPnP,26.4684,1.5754,0.6397,0.1385,0.4368,0.0446
run_08_haarpsi_reward,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_08_haarpsi_reward,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_08_haarpsi_reward,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_08_haarpsi_reward,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_08_haarpsi_reward,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_08_haarpsi_reward,7.5%,TFPnP,25.3864,1.5483,0.6282,0.1442,0.3651,0.0384
run_08_haarpsi_reward,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_08_haarpsi_reward,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_08_haarpsi_reward,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_08_haarpsi_reward,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_08_haarpsi_reward,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_08_haarpsi_reward,10.0%,TFPnP,24.7946,1.5606,0.619,0.1348,0.3323,0.0299
run_09_ssim_only,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_09_ssim_only,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_09_ssim_only,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_09_ssim_only,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_09_ssim_only,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_09_ssim_only,5.0%,TFPnP,27.3162,1.7683,0.6946,0.1344,0.4892,0.0395
run_09_ssim_only,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_09_ssim_only,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_09_ssim_only,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_09_ssim_only,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_09_ssim_only,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_09_ssim_only,7.5%,TFPnP,26.2377,1.7792,0.6525,0.1606,0.4337,0.0424
run_09_ssim_only,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_09_ssim_only,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_09_ssim_only,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_09_ssim_only,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_09_ssim_only,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_09_ssim_only,10.0%,TFPnP,25.5759,1.7312,0.6397,0.153,0.3982,0.0353
run_10_haarpsi_only,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_10_haarpsi_only,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_10_haarpsi_only,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_10_haarpsi_only,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_10_haarpsi_only,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_10_haarpsi_only,5.0%,TFPnP,26.7554,1.7697,0.6578,0.1433,0.4601,0.0469
run_10_haarpsi_only,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_10_haarpsi_only,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_10_haarpsi_only,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_10_haarpsi_only,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_10_haarpsi_only,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_10_haarpsi_only,7.5%,TFPnP,25.3587,1.6093,0.6101,0.142,0.3872,0.0467
run_10_haarpsi_only,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_10_haarpsi_only,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_10_haarpsi_only,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_10_haarpsi_only,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_10_haarpsi_only,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_10_haarpsi_only,10.0%,TFPnP,24.3277,1.5847,0.5526,0.1302,0.3404,0.0368
run_11_pat_250_e80_ctdrunet,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_11_pat_250_e80_ctdrunet,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_11_pat_250_e80_ctdrunet,5.0%,DRUNet,15.0919,2.0749,0.0848,0.0368,0.2386,0.0337
run_11_pat_250_e80_ctdrunet,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_11_pat_250_e80_ctdrunet,5.0%,Fixed PnP-ADMM,15.4068,2.1417,0.1754,0.0794,0.27,0.0319
run_11_pat_250_e80_ctdrunet,5.0%,TFPnP,26.5086,1.7099,0.6734,0.1206,0.4449,0.0469
run_11_pat_250_e80_ctdrunet,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_11_pat_250_e80_ctdrunet,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_11_pat_250_e80_ctdrunet,7.5%,DRUNet,14.0458,1.9425,0.063,0.0271,0.226,0.0313
run_11_pat_250_e80_ctdrunet,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_11_pat_250_e80_ctdrunet,7.5%,Fixed PnP-ADMM,14.9902,1.9803,0.1171,0.0624,0.2473,0.0263
run_11_pat_250_e80_ctdrunet,7.5%,TFPnP,24.8099,1.5448,0.6151,0.1118,0.3837,0.045
run_11_pat_250_e80_ctdrunet,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_11_pat_250_e80_ctdrunet,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_11_pat_250_e80_ctdrunet,10.0%,DRUNet,13.5552,1.8855,0.0547,0.024,0.2172,0.0285
run_11_pat_250_e80_ctdrunet,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_11_pat_250_e80_ctdrunet,10.0%,Fixed PnP-ADMM,14.8405,1.9173,0.0875,0.0469,0.2365,0.0241
run_11_pat_250_e80_ctdrunet,10.0%,TFPnP,23.6494,1.4875,0.5603,0.1111,0.3377,0.043
